"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-20,"BC","Vancouver Coastal","Unknown",0,0
2020-05-20,"BC","Vancouver Coastal","Vancouver",0,0.43
2020-05-20,"BC","Vancouver Island","All",0,0
2020-05-20,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-20,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-20,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-20,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-05-21,"BC","All","All",23,13.43
2020-05-21,"BC","Fraser","All",15,10.43
2020-05-21,"BC","Fraser","Fraser East",7,5
2020-05-21,"BC","Fraser","Fraser North",1,1.29
2020-05-21,"BC","Fraser","Fraser South",7,4.14
2020-05-21,"BC","Fraser","Unknown",0,0
2020-05-21,"BC","Interior","All",1,0.71
2020-05-21,"BC","Interior","East Kootenay",0,0
2020-05-21,"BC","Interior","Kootenay Boundary",0,0.29
2020-05-21,"BC","Interior","Okanagan",0,0
2020-05-21,"BC","Interior","Thompson Cariboo Shuswap",1,0.43
2020-05-21,"BC","Northern","All",2,0.57
2020-05-21,"BC","Northern","Northeast",0,0
2020-05-21,"BC","Northern","Northern Interior",2,0.57
2020-05-21,"BC","Northern","Northwest",0,0
2020-05-21,"BC","Northern","Unknown",0,0
2020-05-21,"BC","Vancouver Coastal","All",3,1.43
2020-05-21,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.57
2020-05-21,"BC","Vancouver Coastal","Richmond",0,0
2020-05-21,"BC","Vancouver Coastal","Unknown",0,0
2020-05-21,"BC","Vancouver Coastal","Vancouver",3,0.86
2020-05-21,"BC","Vancouver Island","All",2,0.29
2020-05-21,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-21,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-21,"BC","Vancouver Island","South Vancouver Island",2,0.29
2020-05-21,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-05-22,"BC","All","All",8,12
2020-05-22,"BC","Fraser","All",6,8.86
2020-05-22,"BC","Fraser","Fraser East",2,4.43
2020-05-22,"BC","Fraser","Fraser North",1,1.29
2020-05-22,"BC","Fraser","Fraser South",3,3.14
2020-05-22,"BC","Fraser","Unknown",0,0
2020-05-22,"BC","Interior","All",0,0.71
2020-05-22,"BC","Interior","East Kootenay",0,0
2020-05-22,"BC","Interior","Kootenay Boundary",0,0.29
2020-05-22,"BC","Interior","Okanagan",0,0
